image,source,method,output_width,output_height,target_size_source,fit_residual_rmse_px,fit_residual_max_px,matrix_error_vs_truth,transfer_rmse_vs_truth_px,transfer_max_vs_truth_px,target_mismatch_rmse_px,aspect_error_percent,solve_ms,solve_ms_std,warp_ms,warp_ms_std,image_mae_vs_opencv
docunet_30_view1.jpg,public,basic_dlt,594,393,estimated,8.874485310071478e-09,1.3747708092734652e-08,,,,,,0.16394999693147838,0.0901512233550546,27.060899999924004,2.063140433854247,0.0006139997658233451
docunet_30_view1.jpg,public,normalized_dlt,594,393,estimated,1.95268984709943e-13,3.0364213294729295e-13,,,,,,0.07570002344436944,0.07054631266428739,25.01110004959628,0.2125589319952073,0.0006139997658233451
docunet_30_view1.jpg,public,opencv,594,393,estimated,3.4630262443491186e-05,4.691443275146507e-05,,,,,,0.00400003045797348,0.009527882433217007,0.18759997328743339,0.07362683608438694,
docunet_30_view2.jpg,public,basic_dlt,640,489,estimated,5.696884177831303e-09,8.060014296172713e-09,,,,,,0.13390000094659626,0.0805145091587064,42.72220004349947,4.609005869873259,0.0007732617586912066
docunet_30_view2.jpg,public,normalized_dlt,640,489,estimated,2.0738060016577798e-13,3.595093471822542e-13,,,,,,0.11914997594431043,0.06216281739907816,35.26699997019023,6.665555221705531,0.0007775221540558964
docunet_30_view2.jpg,public,opencv,640,489,estimated,4.242595590947613e-05,5.871968074755378e-05,,,,,,0.002500019036233425,0.007331681406795963,0.15139998868107796,0.09326174505518516,
flipchart_table.jpg,public,basic_dlt,1159,1599,estimated,1.3383614437651426e-10,2.2974025644065679e-10,,,,,,0.12375001097097993,0.07743986990262836,245.66459999186918,6.675423832089386,0.1326195567656878
flipchart_table.jpg,public,normalized_dlt,1159,1599,estimated,4.962290837102553e-13,8.198074455012805e-13,,,,,,0.07474998710677028,0.06067099956313037,245.0494000222534,0.7938595776131048,0.25818516498034166
flipchart_table.jpg,public,opencv,1159,1599,estimated,0.0,0.0,,,,,,0.0025999615900218487,0.009497205634643378,1.0328999487683177,0.1254959225353654,
flipchart_venn.jpg,public,basic_dlt,1229,1599,estimated,1.4546599990325718e-10,2.6167005822709686e-10,,,,,,0.12390001211315393,0.09947136847570691,256.9224000326358,1.2356358854673375,0.37931491288374736
flipchart_venn.jpg,public,normalized_dlt,1229,1599,estimated,4.794872239405274e-13,6.961756090451328e-13,,,,,,0.07115001790225506,0.07702971876572413,265.8600999857299,8.246685877300319,0.35761247579303107
flipchart_venn.jpg,public,opencv,1229,1599,estimated,0.0,0.0,,,,,,0.0024999608285725117,0.008667098539034858,1.070300000719726,0.10889794462873005,
menu_board.jpg,public,basic_dlt,557,1209,estimated,6.727578438061801e-08,1.0590680841698511e-07,,,,,,0.0943500199355185,0.05190319069332509,66.40040001366287,9.192884605087603,0.0005430050602923713
menu_board.jpg,public,normalized_dlt,557,1209,estimated,3.0586245811584807e-13,4.60283564307318e-13,,,,,,0.12240000069141388,0.06628756583770294,81.69840002665296,8.82826734239465,0.0005425100693531805
menu_board.jpg,public,opencv,557,1209,estimated,3.1654245878795174e-05,5.545760617112479e-05,,,,,,0.0039000296965241432,0.010615001068601984,0.5302999634295702,0.02243850233356764,
sample_slanted.png,single,basic_dlt,751,535,estimated,7.4697304704856e-09,1.0572792657748723e-08,1318.732918436573,95.34831207793151,159.83116090797844,113.01769772410802,7.879672897196259,0.09944997145794332,0.10134650745359404,48.6815000185743,1.4507134224292917,9.291868370728955e-05
sample_slanted.png,single,normalized_dlt,751,535,estimated,3.1643941249119896e-13,3.8661528694053927e-13,1318.7329184085775,95.34831208091406,159.83116091730196,113.01769772916116,7.879672897196259,0.07204996654763818,0.0395698060294689,53.268699964974076,0.7596567757206489,9.291868370728955e-05
sample_slanted.png,single,opencv,751,535,estimated,5.948629311565467e-14,1.1368683772161603e-13,1318.7329184085881,95.34831208091389,159.83116091730162,113.01769772916096,7.879672897196259,0.002500019036233425,0.02050250272304057,0.3961999900639057,3.6669146511525876,
sample_slanted.png,single,basic_dlt,640,420,cli,2.026675118536959e-09,3.120493506991372e-09,2.9631616395810486e-08,2.55008264720476e-09,6.687226931356627e-09,2.026675118536959e-09,0.0,0.09094999404624104,0.0992611652053149,36.15279996301979,1.3804448727820042,0.00012152777777777777
sample_slanted.png,single,normalized_dlt,640,420,cli,1.4573328374199865e-13,2.0781825805219832e-13,1.2587643827298941e-08,1.713518129314628e-09,5.067577647873438e-09,1.4573328374199865e-13,0.0,0.07229999755509198,0.05648906847773703,34.81040004407987,0.8892572478359493,0.00012152777777777777
sample_slanted.png,single,opencv,640,420,cli,1.005521188400029e-13,1.1450899432524513e-13,1.2575808031678526e-08,1.7135177187563003e-09,5.067591403713595e-09,1.005521188400029e-13,0.0,0.002700020559132099,0.022785396504472477,0.5530000198632479,3.9228435337572747,
